位置,经纬度
广东省深圳市龙岗区阳光天健城,"114.220189,22.701407"
广东省深圳市罗湖区金城华庭,"114.133663,22.549331"
广东省深圳市龙岗区桂芳园六期,"114.142258,22.611692"
广东省深圳市龙岗区茂业城,"114.133966,22.610881"
广东省深圳市龙岗区怡龙枫景园,"114.274322,22.724865"
广东省深圳市福田区金地名津,"114.073594,22.516121"
广东省深圳市龙岗区振业峦山谷花园二期,"114.262019,22.681863"
广东省深圳市龙岗区万科红,"114.126868,22.598124"
广东省深圳市福田区福禄居,"114.024508,22.538429"
广东省深圳市龙岗区承翰陶源花园,"114.233647,22.750736"
广东省深圳市龙岗区桂芳园一期,"114.140620,22.613339"
广东省深圳市龙岗区大世纪花园,"114.126855,22.610378"
广东省深圳市龙岗区徽王府,"114.227467,22.727878"
广东省深圳市龙岗区荣超花园,"114.119121,22.593648"
广东省深圳市罗湖区阳光天地家园,"114.127493,22.567764"
广东省深圳市龙岗区怡康家园,"114.137237,22.614245"
广东省深圳市龙岗区可园社区,"114.136984,22.598758"
广东省深圳市罗湖区名骏豪庭,"114.171576,22.559313"
广东省深圳市罗湖区今日家园,"114.136134,22.581274"
广东省深圳市坪山区中粮一品澜山花园,"114.373163,22.731480"
广东省深圳市罗湖区愉天小区,"114.127815,22.565917"
广东省深圳市坪山区六和商业广场一期,"114.338350,22.692688"
广东省深圳市龙岗区乐城荷康花园,"114.224770,22.675555"
广东省深圳市罗湖区合正荣悦,"114.129674,22.552005"
广东省深圳市龙岗区绿景大公馆,"114.220686,22.696737"
广东省深圳市龙岗区远洋新干线,"114.262560,22.718425"
广东省深圳市宝安区泰华阳光海,"113.856489,22.572504"
广东省深圳市龙岗区新亚洲花园,"114.238101,22.715096"
广东省深圳市罗湖区百仕达花园二期,"114.133142,22.572854"
广东省深圳市龙岗区榭丽花园,"114.255198,22.721115"
广东省深圳市罗湖区百仕达花园五期,"114.139972,22.568258"
广东省深圳市福田区黄埔雅苑乐悠园,"114.054002,22.543846"
广东省深圳市龙岗区中心花园,"114.130401,22.608591"
广东省深圳市坪山区招商花园,"114.344244,22.705913"
广东省深圳市宝安区金港华庭,"113.861260,22.582450"
广东省深圳市罗湖区怡泰大厦,"114.127909,22.554336"
广东省深圳市罗湖区太阳新城,"114.124155,22.575972"
广东省深圳市龙岗区嘉御豪园,"114.058528,22.635734"
广东省深圳市龙岗区东方盛世花园,"114.116369,22.592692"
广东省深圳市南山区蔚蓝海岸社区三期,"113.936582,22.511728"
广东省深圳市龙岗区荔山公馆,"114.126207,22.592345"
广东省深圳市坪山区大东城,"114.340100,22.707050"
广东省深圳市罗湖区彩世界家园,"114.142962,22.579164"
广东省深圳市龙岗区百合星城,"114.120554,22.598225"
广东省深圳市福田区皇御苑,"114.075556,22.526089"
广东省深圳市福田区崇德,"114.092454,22.540971"
广东省深圳市罗湖区新银座,"114.120159,22.535578"
广东省深圳市龙岗区叠翠新峰花园,"114.270262,22.717635"
广东省深圳市龙岗区麓园,"114.220051,22.732648"
广东省深圳市宝安区魅力时代花园,"113.863599,22.575364"
广东省深圳市福田区皇御苑b区,"114.076518,22.526073"
广东省深圳市宝安区金泓凯旋城,"113.898001,22.555436"
广东省深圳市福田区帝港海湾豪园,"114.055650,22.509140"
广东省深圳市坪山区万科金域缇香花园二期,"114.339767,22.704025"
广东省深圳市龙岗区龙禧雅苑,"114.245065,22.740454"
广东省深圳市福田区益田村,"114.053579,22.515080"
广东省深圳市南山区诺德假日花园,"113.903114,22.509892"
广东省深圳市福田区黄埔雅苑骏悠园,"114.053991,22.545437"
广东省深圳市龙岗区中城康桥花园一期,"114.144373,22.622030"
广东省深圳市罗湖区翠拥华庭,"114.130750,22.562557"
广东省深圳市龙岗区中央悦城,"114.242060,22.732298"
广东省深圳市龙岗区桂芳园四期,"114.141240,22.612081"
广东省深圳市龙岗区新都汇家园,"114.130922,22.606341"
广东省深圳市罗湖区嘉多利花园,"114.125829,22.560898"
广东省深圳市罗湖区东方尊峪,"114.191824,22.558382"
广东省深圳市龙华区星河盛世,"114.046688,22.602673"
广东省深圳市龙岗区仁恒峦山美地,"114.269112,22.689860"
广东省深圳市盐田区中海半山溪谷花园,"114.241395,22.585384"
广东省深圳市龙华区青年城邦园,"114.021832,22.651970"
广东省深圳市南山区蔚蓝海岸社区二期,"113.935733,22.508443"
广东省深圳市福田区城市3米6公寓,"114.056151,22.508694"
广东省深圳市龙岗区阳光广场,"114.253657,22.731387"
广东省深圳市龙岗区宇宏健康花城,"114.136531,22.625180"
广东省深圳市龙岗区茗萃园,"114.142511,22.668302"
广东省深圳市福田区皇御苑c区|B地块,"114.075622,22.524213"
广东省深圳市龙岗区水岸新都,"114.277556,22.749975"
广东省深圳市龙岗区摩尔城,"114.268503,22.722432"
广东省深圳市宝安区花园三期,"113.944278,22.742319"
广东省深圳市罗湖区海洋大厦,"114.129409,22.555446"
广东省深圳市龙岗区缤纷世纪公寓,"114.230270,22.702430"
广东省深圳市龙华区花园一期,"114.002624,22.640217"
广东省深圳市龙岗区城市花园,"114.239675,22.726866"
广东省深圳市罗湖区松泉公寓,"114.129295,22.577622"
广东省深圳市龙岗区名苑商住楼,"114.261634,22.733379"
广东省深圳市宝安区中海西岸华府北区,"113.820601,22.771137"
广东省深圳市龙岗区君悦龙庭,"114.222617,22.725794"
广东省深圳市福田区东海花园一期,"114.021795,22.538088"
广东省深圳市罗湖区幸福里,"114.110406,22.536954"
广东省深圳市龙岗区锦龙名苑,"114.270225,22.713244"
广东省深圳市宝安区西荟城一期,"113.816650,22.732404"
广东省深圳市罗湖区新世界,"114.158289,22.554305"
广东省深圳市宝安区润恒尚园,"113.856548,22.583625"
广东省深圳市福田区港中旅花园二期,"114.013986,22.548081"
广东省深圳市福田区中海华庭,"114.052637,22.533496"
广东省深圳市龙岗区桂芳园八期,"114.138953,22.608815"
广东省深圳市龙岗区鸿基花园,"114.239557,22.709316"
广东省深圳市南山区红树西岸,"113.965813,22.522218"
广东省深圳市龙岗区碧湖玫瑰园,"114.239458,22.721154"
广东省深圳市福田区南方国际广场,"114.055466,22.526233"
广东省深圳市罗湖区东乐花园(罗湖),"114.140234,22.571725"
广东省深圳市罗湖区锦上花家园,"114.135903,22.540749"
广东省深圳市龙岗区俪景鸿都,"114.241707,22.713030"
广东省深圳市罗湖区嘉湖新都,"114.124327,22.566206"
广东省深圳市罗湖区都会大厦,"114.142940,22.548281"
广东省深圳市龙岗区沙湾中城康桥花园二期,"114.143266,22.625205"
广东省深圳市盐田区昊海君悦大厦,"114.243628,22.560492"
广东省深圳市福田区星河国际,"114.054114,22.531630"
广东省深圳市龙岗区帝景峰,"114.132778,22.610560"
广东省深圳市龙岗区麟恒中心广场,"114.186292,22.637411"
广东省深圳市福田区黄埔雅苑翠悠园,"114.050999,22.545866"
广东省深圳市龙岗区龙城华府,"114.230629,22.699769"
广东省深圳市宝安区里程花园,"113.856575,22.609777"
广东省深圳市龙岗区东关岸上林居,"114.247671,22.739053"
广东省深圳市福田区金域蓝湾,"114.025490,22.523506"
广东省深圳市龙岗区龙园意境华府,"114.124685,22.620788"
广东省深圳市龙岗区全盛紫悦龙庭,"114.239109,22.730843"
广东省深圳市龙华区苹果园,"114.029136,22.638516"
广东省深圳市罗湖区华达园二期,"114.130070,22.573746"
广东省深圳市龙岗区骏泰金汐府,"114.291121,22.729551"
广东省深圳市龙岗区桂芳园一期,"114.140620,22.613339"
广东省深圳市罗湖区环岛丽园,"114.134205,22.552260"
广东省深圳市南山区星海名城二期,"113.914111,22.537663"
广东省深圳市龙岗区华业玫瑰郡,"114.237197,22.731927"
广东省深圳市罗湖区名仕阁,"114.108211,22.542857"
广东省深圳市龙岗区金地名峰花园,"114.261544,22.683353"
广东省深圳市罗湖区柏丽花园,"114.126831,22.562532"
广东省深圳市龙岗区碧湖花园(龙岗),"114.241730,22.720444"
广东省深圳市龙岗区颐安都会中央花园,"114.224984,22.688225"
广东省深圳市龙华区金地上塘道花园,"114.022038,22.634237"
广东省深圳市龙岗区桂芳园三期,"114.140949,22.616487"
广东省深圳市龙岗区深业紫麟山,"114.246257,22.736237"
广东省深圳市龙岗区紫薇花园,"114.240633,22.716749"
广东省深圳市宝安区桃源居十二区,"113.864483,22.615224"
广东省深圳市南山区彩虹之岸,"113.946856,22.525438"
广东省深圳市坪山区万科金域缇香花园一期,"114.341371,22.707201"
广东省深圳市龙岗区一城峰景,"114.276040,22.725409"
广东省深圳市龙岗区国香清林郡,"114.234244,22.749196"
广东省深圳市龙岗区万科金色沁园,"114.224604,22.723432"
广东省深圳市福田区深业上城,"114.070226,22.556923"
广东省深圳市南山区蔚蓝海岸社区,"113.936553,22.512415"
广东省深圳市宝安区熙龙湾二期,"113.891738,22.546021"
广东省深圳市宝安区鸿荣源禧园,"113.826289,22.731452"
广东省深圳市罗湖区阳光明居,"114.134400,22.583038"
广东省深圳市盐田区花样年花港家园,"114.248393,22.591204"
广东省深圳市龙华区潜龙鑫茂花园a区,"114.043435,22.609748"
广东省深圳市龙岗区信义假日名城,"114.125168,22.594863"
广东省深圳市宝安区万象新天,"113.849503,22.603327"
广东省深圳市龙岗区非凡空间阁,"114.251237,22.730449"
广东省深圳市龙岗区茵悦之生花园,"114.111408,22.628507"
广东省深圳市龙岗区半岛苑,"114.129449,22.613611"
广东省深圳市福田区高发城驰苑,"114.057390,22.522557"
广东省深圳市龙岗区悦澜山花园,"114.250766,22.734843"
广东省深圳市福田区星河世纪大厦,"114.067419,22.539161"
广东省深圳市龙岗区宏兴苑,"114.234998,22.723791"
广东省深圳市南山区深圳湾一号,"113.942687,22.506328"
广东省深圳市福田区彩天名苑,"114.068459,22.537491"
广东省深圳市龙岗区慢城三期,"114.127955,22.624093"
广东省深圳市南山区星海名城,"113.912749,22.537620"
广东省深圳市宝安区畔山御景花园,"113.813657,22.774311"
广东省深圳市龙岗区金域上郡花园,"114.103967,22.623360"
广东省深圳市福田区黄埔雅苑逸悠园,"114.050711,22.543505"
广东省深圳市福田区城中雅苑,"114.052566,22.531756"
广东省深圳市福田区裕康时尚名居,"114.049598,22.518756"
广东省深圳市坪山区盈富家园,"114.368832,22.703664"
广东省深圳市龙岗区大世纪水山缘,"114.140929,22.599355"
广东省深圳市福田区华尔登府邸,"114.062137,22.511261"
广东省深圳市南山区山海美域花园,"113.886532,22.493715"
广东省深圳市龙华区潜龙曼海宁花园南区,"114.009651,22.639125"
广东省深圳市龙岗区百合山庄,"114.120113,22.595522"
广东省深圳市龙岗区英郡年华二期,"114.149992,22.617273"
广东省深圳市南山区半岛城邦花园二期,"113.931539,22.481454"
广东省深圳市坪山区深业东城上邸,"114.337669,22.684065"
广东省深圳市福田区花好园,"114.025207,22.528334"
广东省深圳市罗湖区东乐大厦,"114.139990,22.572363"
广东省深圳市龙岗区城南雅筑,"114.255795,22.709908"
广东省深圳市龙岗区鹏达花园,"114.267158,22.717328"
广东省深圳市罗湖区置地广场,"114.121039,22.537086"
广东省深圳市福田区香域中央花园,"114.018144,22.549550"
广东省深圳市宝安区聚福园小区,"113.814793,22.669730"
广东省深圳市龙岗区中海大山地花园,"114.177997,22.644926"
广东省深圳市南山区雍景湾花园,"113.931248,22.496079"
广东省深圳市南山区宝能太古城南区,"113.938895,22.498697"
广东省深圳市龙华区一八六六花园,"114.029440,22.626298"
广东省深圳市坪山区金地朗悦,"114.339856,22.678442"
广东省深圳市福田区翠海花园,"114.016061,22.551256"
广东省深圳市罗湖区海富花园,"114.137055,22.545522"
广东省深圳市福田区金港豪庭,"114.064544,22.518674"
广东省深圳市南山区龙辉花园,"113.960073,22.566933"
广东省深圳市龙岗区广业成学府道花园,"114.230724,22.726851"
广东省深圳市罗湖区鸿业苑,"114.132795,22.557115"
广东省深圳市罗湖区鹏兴花园二期,"114.164299,22.562465"
广东省深圳市宝安区和园,"113.911562,22.571368"
广东省深圳市宝安区熙龙湾一期,"113.888962,22.547445"
广东省深圳市宝安区中信湾上|6座,"113.855345,22.570130"
广东省深圳市南山区天鹅堡二期,"113.978187,22.546017"
广东省深圳市龙岗区欧景花园,"114.234197,22.725353"
广东省深圳市南山区御景东方花园,"113.978540,22.534798"
广东省深圳市福田区熙园,"114.024664,22.549848"
广东省深圳市福田区翠海花园,"114.016061,22.551256"
广东省深圳市罗湖区桐景花园,"114.174438,22.559424"
广东省深圳市福田区新新家园,"114.052993,22.519043"
广东省深圳市龙华区书香门第上河坊广场,"114.047382,22.597723"
广东省深圳市宝安区金域豪庭,"113.808657,22.670933"
广东省深圳市南山区深圳湾,"113.949116,22.503260"
广东省深圳市宝安区深业新岸线三期,"113.876000,22.557500"
广东省深圳市罗湖区文华花园,"114.137302,22.544668"
广东省深圳市盐田区上东湾,"114.228812,22.549764"
广东省深圳市罗湖区鹏兴花园一期,"114.164488,22.565259"
广东省深圳市宝安区桃源居十四区,"113.861370,22.617041"
广东省深圳市龙岗区卓弘高尔夫雅苑,"114.271049,22.691292"
广东省深圳市龙岗区熙和园,"114.230130,22.728147"
广东省深圳市南山区现代城华庭,"113.924427,22.517259"
广东省深圳市罗湖区阳光新干线家园,"114.127126,22.537757"
广东省深圳市南山区向南瑞峰,"113.925589,22.524309"
广东省深圳市龙岗区睿智华庭,"114.209705,22.705842"
广东省深圳市龙岗区天健现代城,"114.220932,22.720151"
广东省深圳市龙岗区东都花园,"114.237238,22.708838"
广东省深圳市宝安区招商果岭,"113.857716,22.584860"
广东省深圳市龙岗区东方半岛花园,"114.131974,22.612109"
广东省深圳市宝安区幸福海岸二期,"113.878647,22.560735"
广东省深圳市龙岗区愉园新村,"114.237318,22.721503"
广东省深圳市罗湖区碧岭华庭,"114.125843,22.579091"
广东省深圳市龙岗区盈翠家园,"114.139515,22.611490"
广东省深圳市罗湖区淘金山湖景花园1期,"114.143524,22.585725"
广东省深圳市南山区宝能太古城北区,"113.939076,22.501557"
广东省深圳市南山区花园城三期,"113.922639,22.498573"
广东省深圳市龙岗区龙城国际,"114.231882,22.723880"
广东省深圳市南山区香格名苑,"113.884926,22.491183"
广东省深圳市龙华区圣莫丽斯花园,"114.028789,22.598233"
广东省深圳市盐田区和亨中心广场,"114.251272,22.588412"
广东省深圳市宝安区缤纷世界花园,"113.859217,22.564621"
广东省深圳市龙岗区天健花园,"114.235200,22.724839"
广东省深圳市龙岗区志健时代广场,"114.205626,22.648373"
广东省深圳市福田区自由港湾,"114.049882,22.508974"
广东省深圳市龙岗区茵悦之生花园2期,"114.111599,22.629674"
广东省深圳市宝安区尚都花园,"113.887074,22.559216"
广东省深圳市宝安区中粮锦云,"113.887520,22.584066"
广东省深圳市龙岗区中海怡美花园,"114.186091,22.647459"
广东省深圳市罗湖区山湖居,"114.141491,22.583622"
广东省深圳市宝安区兴达华府,"113.857125,22.611127"
广东省深圳市龙岗区欧景城华庭,"114.237340,22.723899"
广东省深圳市龙岗区左庭右院南区,"114.142349,22.622369"
广东省深圳市宝安区黄金大厦,"113.888994,22.575777"
广东省深圳市宝安区西城上筑花园,"113.892369,22.556273"
广东省深圳市龙华区潜龙花园,"114.041875,22.613486"
广东省深圳市龙岗区阅山公馆,"114.250329,22.737146"
广东省深圳市南山区万象新园,"113.927078,22.523960"
广东省深圳市福田区园岭新村,"114.100529,22.554209"
广东省深圳市宝安区白金假日公寓,"113.868913,22.567533"
广东省深圳市宝安区丽沙花都,"113.829234,22.716481"
广东省深圳市龙岗区中海怡瑞山居,"114.122922,22.619804"
广东省深圳市盐田区和亨城市广场,"114.238473,22.557983"
广东省深圳市福田区港中旅花园,"114.017006,22.547769"
广东省深圳市宝安区宏发领域,"113.889054,22.554184"
广东省深圳市坪山区万科金域东郡,"114.342578,22.705856"
广东省深圳市宝安区西岸观邸,"113.895404,22.550510"
广东省深圳市福田区香蜜湖一号,"114.034565,22.551685"
广东省深圳市南山区阳光棕榈园三期,"113.911364,22.525392"
广东省深圳市盐田区金港盛世华庭,"114.254886,22.588983"
广东省深圳市南山区漾日湾畔,"113.938634,22.519674"
广东省深圳市龙岗区楚丰广场,"114.254197,22.732598"
广东省深圳市罗湖区海珑华苑,"114.132526,22.546629"
广东省深圳市盐田区碧海蓝天明苑,"114.234868,22.553193"
广东省深圳市龙岗区盛龙花园,"114.256388,22.725506"
广东省深圳市龙岗区和谐家园,"114.140393,22.618001"
广东省深圳市盐田区云顶天海小区,"114.305523,22.600717"
广东省深圳市福田区皇都广场,"114.057306,22.527242"
广东省深圳市南山区俊峰丽舍花园,"113.982971,22.561171"
广东省深圳市罗湖区汇鑫花园,"114.135713,22.543080"
广东省深圳市龙岗区风临四季,"114.290870,22.727679"
广东省深圳市南山区新一代大厦,"113.924754,22.505209"
广东省深圳市宝安区世外桃源,"113.859780,22.613570"
广东省深圳市龙华区懿花园,"114.063484,22.692211"
广东省深圳市龙岗区龙福一村,"114.245792,22.724283"
广东省深圳市罗湖区翡翠公寓,"114.124261,22.560871"
广东省深圳市龙岗区康达尔花园,"114.137574,22.616530"
广东省深圳市南山区天骄华庭,"113.936093,22.499361"
广东省深圳市龙岗区80后街,"114.124372,22.601351"
广东省深圳市福田区锦庐花园,"114.008250,22.549814"
广东省深圳市宝安区都市翠海华苑,"113.905510,22.569550"
广东省深圳市宝安区西城雅筑,"113.877580,22.562799"
广东省深圳市福田区海悦华城,"114.070155,22.516772"
广东省深圳市福田区雅颂居,"114.066578,22.543593"
广东省深圳市盐田区东港印象家园,"114.249724,22.592003"
广东省深圳市福田区碧荔花园,"114.046148,22.566566"
广东省深圳市罗湖区金色年华家园,"114.171740,22.562137"
广东省深圳市宝安区桃源居六区,"113.865946,22.617199"
广东省深圳市罗湖区鹏城花园,"114.142194,22.580580"
广东省深圳市宝安区深业新岸线一期,"113.876233,22.557153"
广东省深圳市福田区绿洲丰和家园,"114.050927,22.527144"
广东省深圳市龙华区锦绣江南一期,"114.026695,22.635363"
广东省深圳市龙岗区中房怡芬花园,"114.138943,22.613279"
广东省深圳市福田区水榭花都,"114.037050,22.548594"
广东省深圳市宝安区天骄世家,"113.890950,22.587911"
广东省深圳市宝安区德业新城花园,"113.890492,22.556242"
广东省深圳市罗湖区东门天地大厦,"114.109533,22.553088"
广东省深圳市南山区半岛城邦花园一期,"113.931217,22.479286"
广东省深圳市福田区金地海景花园e区,"114.043085,22.513983"
广东省深圳市龙岗区尚景华园,"114.242732,22.726642"
广东省深圳市龙华区清湖花园,"114.048296,22.672254"
广东省深圳市龙岗区中翠花园,"114.139898,22.613549"
广东省深圳市龙岗区奥林华府,"114.220327,22.703903"
广东省深圳市宝安区君逸世家花园,"113.881385,22.561474"
广东省深圳市罗湖区翠华花园,"114.132380,22.555547"
广东省深圳市龙岗区欧意轩花园,"114.253407,22.736075"
广东省深圳市南山区三湘海尚花园一期,"113.943250,22.504500"
广东省深圳市龙岗区景华苑,"114.106875,22.625636"
广东省深圳市龙岗区创富时代名苑,"114.269320,22.722283"
广东省深圳市福田区港城华庭,"114.072742,22.517083"
广东省深圳市福田区星座大厦,"114.054840,22.525530"
广东省深圳市南山区滨海之窗花园,"113.935519,22.520447"
广东省深圳市福田区祥云天都世纪大厦,"114.043980,22.521046"
广东省深圳市龙岗区全盛御景湾花园,"114.247774,22.734425"
广东省深圳市福田区四季山水花园,"114.045538,22.570591"
广东省深圳市宝安区大益广场,"113.868593,22.580552"
广东省深圳市福田区丽阳天下名苑,"114.051054,22.525269"
广东省深圳市龙岗区信和爱琴居,"114.135534,22.611689"
广东省深圳市龙岗区德沁苑,"114.272092,22.718006"
广东省深圳市罗湖区湖滨新村,"114.138114,22.559156"
广东省深圳市南山区鸿威海怡湾畔花园,"113.943087,22.490978"
广东省深圳市罗湖区鸿翔花园,"114.106417,22.553892"
广东省深圳市罗湖区祥和花园1期,"114.169825,22.563704"
广东省深圳市宝安区万科翡丽郡花园,"113.814000,22.733872"
广东省深圳市龙华区水榭春天花园,"114.024209,22.628197"
广东省深圳市龙华区锦绣江南四期,"114.031892,22.638192"
广东省深圳市盐田区壹海城三区一期,"114.239148,22.551123"
广东省深圳市龙岗区左庭右院北区,"114.141513,22.624029"
广东省深圳市龙岗区布吉茵悦之生花园三期,"114.110419,22.630273"
广东省深圳市福田区金海湾花园,"114.032187,22.519839"
广东省深圳市南山区阳光海景,"113.933958,22.542449"
广东省深圳市南山区十五峰花园,"113.980594,22.563479"
广东省深圳市宝安区丽景城,"113.887262,22.588996"
广东省深圳市宝安区圣淘沙,"113.863391,22.573151"
广东省深圳市罗湖区双城世纪大厦,"114.120510,22.533523"
广东省深圳市龙岗区桂芳园二期,"114.140945,22.616507"
广东省深圳市宝安区碧海富通城五期,"113.854008,22.568877"
广东省深圳市龙岗区锦绣东方,"114.232376,22.720896"
广东省深圳市宝安区卡罗社区,"113.890281,22.561586"
广东省深圳市龙岗区汇龙天下,"114.253266,22.729918"
广东省深圳市罗湖区华丽园,"114.129097,22.559974"
广东省深圳市南山区君汇新天花园,"113.938944,22.502710"
广东省深圳市盐田区碧桐湾,"114.228659,22.549998"
广东省深圳市宝安区中粮鸿云花园,"113.867752,22.579427"
广东省深圳市宝安区鸿隆广场,"113.880716,22.581917"
广东省深圳市罗湖区旺业豪苑,"114.125627,22.554293"
广东省深圳市罗湖区都市名园,"114.109404,22.540247"
广东省深圳市罗湖区城市天地广场,"114.113227,22.537919"
广东省深圳市龙岗区九州家园,"114.263746,22.728384"
广东省深圳市福田区汇港名苑,"114.083716,22.530194"
广东省深圳市盐田区桐林花园,"114.234963,22.560022"
广东省深圳市龙岗区汇福花园,"114.138031,22.614684"
广东省深圳市福田区彩福大厦,"114.067596,22.536034"
广东省深圳市龙岗区慢城二期,"114.128032,22.623321"
广东省深圳市龙华区万科金域华府一期,"114.043391,22.599369"
广东省深圳市南山区四海公寓,"113.931405,22.494167"
广东省深圳市龙岗区水蓝湾园,"114.221130,22.726648"
广东省深圳市龙岗区合家欢,"114.241939,22.746303"
广东省深圳市宝安区中海九号公馆,"113.895477,22.601593"
广东省深圳市南山区阳光棕榈园,"113.912792,22.525985"
广东省深圳市福田区蜜园,"114.043187,22.523905"
广东省深圳市罗湖区东方凤雅台,"114.180666,22.560203"
广东省深圳市宝安区中海西岸华府南区,"113.822215,22.768782"
广东省深圳市罗湖区福德花园,"114.133337,22.546355"
广东省深圳市罗湖区京基一百大厦,"114.108409,22.544074"
广东省深圳市福田区缔梦园三期,"114.041126,22.552331"
广东省深圳市龙岗区阳基新天地家园,"114.156839,22.623601"
广东省深圳市罗湖区凤凰印象,"114.133335,22.547178"
广东省深圳市南山区南油生活b区,"113.929562,22.508549"
广东省深圳市罗湖区畔山花园,"114.176705,22.561572"
广东省深圳市南山区香山里花园二期,"113.972560,22.553420"
广东省深圳市龙华区金碧世家,"114.025389,22.651760"
广东省深圳市福田区天泽花园,"114.069899,22.517870"
广东省深圳市宝安区富通蟠龙居,"113.869400,22.575196"
广东省深圳市罗湖区世界金融中心,"114.114366,22.542001"
广东省深圳市南山区花城南区,"113.965071,22.527033"
广东省深圳市南山区兰溪谷,"113.912040,22.490143"
广东省深圳市龙岗区紫郡,"114.141922,22.627707"
广东省深圳市宝安区菁英趣庭,"113.888364,22.559339"
广东省深圳市罗湖区鸿景翠峰,"114.189833,22.557207"
广东省深圳市龙华区锦绣江南,"114.028429,22.636404"
广东省深圳市龙岗区怡乐花园,"114.142917,22.620825"
广东省深圳市南山区信和自由广场,"113.925095,22.507220"
广东省深圳市龙岗区城龙花园,"114.248714,22.725856"
广东省深圳市罗湖区阳光绿地家园,"114.137982,22.562482"
广东省深圳市宝安区花样年花郡家园,"113.881957,22.563432"
广东省深圳市宝安区玉湖湾花园,"113.848762,22.572542"
广东省深圳市南山区星海名城五期,"113.913559,22.539012"
广东省深圳市龙华区书香门第名苑,"114.045340,22.597036"
广东省深圳市龙岗区名城国际,"114.140498,22.618715"
广东省深圳市福田区天御香山花园,"114.019720,22.538929"
广东省深圳市罗湖区兰亭国际,"114.157101,22.553103"
广东省深圳市龙岗区吉信大厦,"114.116799,22.600597"
广东省深圳市龙岗区中森双子座公馆,"114.221709,22.700083"
广东省深圳市盐田区海世界,"114.305373,22.592093"
广东省深圳市南山区香瑞园,"113.992068,22.560548"
广东省深圳市盐田区泊岸雅苑,"114.310279,22.600956"
广东省深圳市南山区荟芳园,"113.928985,22.527234"
广东省深圳市罗湖区松泉山庄,"114.125818,22.576832"
广东省深圳市盐田区瀚海翠庭,"114.230490,22.546712"
广东省深圳市宝安区好旺角,"113.889473,22.557646"
广东省深圳市龙华区潜龙鑫茂花园c区,"114.041827,22.609262"
广东省深圳市宝安区新安湖花园,"113.907412,22.563846"
广东省深圳市宝安区中洲华府,"113.905370,22.572891"
广东省深圳市宝安区桃源居十五区,"113.863502,22.618174"
广东省深圳市宝安区鸿景园,"113.890680,22.574324"
广东省深圳市南山区恒立听海花园,"113.946800,22.523494"
广东省深圳市南山区鼎太风华六期,"113.910394,22.516282"
广东省深圳市盐田区蓝郡广场,"114.237211,22.549585"
广东省深圳市南山区阳光花地苑,"113.913437,22.518307"
广东省深圳市龙华区招商观园,"114.061923,22.690405"
广东省深圳市福田区中城天邑花园,"114.047574,22.521280"
广东省深圳市盐田区金水湾御园,"114.256808,22.591128"
广东省深圳市盐田区东部阳光,"114.245638,22.562512"
广东省深圳市宝安区桃源盛景园,"113.864331,22.618036"
广东省深圳市罗湖区中山花园,"114.134899,22.548460"
广东省深圳市宝安区槟城西岸华庭,"113.857636,22.570311"
广东省深圳市福田区蓝湾半岛,"114.040158,22.516161"
